cwe,label,file,top,total_cells,ff_cells,mux_cells,cmp_cells
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_1_secure.sv,dma_wrapper,56,18,28,18
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_10_secure.sv,aes2_wrapper,96,44,34,52
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_2_secure.sv,hmac_wrapper,190,86,92,98
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_3_secure.sv,aes1_wrapper,175,14,128,42
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_4_secure.sv,pkt_wrapper,20,4,12,6
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_5_secure.sv,acct_wrapper,32,6,16,18
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_6_secure.sv,rng_wrapper,103,20,100,54
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_7_secure.sv,rsa_wrapper,161,14,136,142
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_8_secure.sv,sha256_wrapper,103,40,56,50
CWE-1233,Secure,CWE_Examples/CWE-1233/Secure_Code/CWE_1233_example_9_secure.sv,aes0_wrapper,114,56,32,64
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_1_vulnerable.sv,dma_wrapper,38,18,8,18
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_10_vulnerable.sv,aes2_wrapper,95,44,34,52
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_2_vulnerable.sv,hmac_wrapper,190,86,92,98
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_3_vulnerable.sv,aes1_wrapper,170,14,120,42
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_4_vulnerable.sv,pkt_wrapper,16,4,8,6
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_5_vulnerable.sv,acct_wrapper,31,6,14,18
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_6_vulnerable.sv,rng_wrapper,99,20,92,54
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_7_vulnerable.sv,rsa_wrapper,161,14,136,142
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_8_vulnerable.sv,sha256_wrapper,102,40,56,50
CWE-1233,Vulnerable,CWE_Examples/CWE-1233/Vulnerable_Code/CWE_1233_example_9_vulnerable.sv,aes0_wrapper,104,56,12,64
,,,,102.8,,,
CWE-1245,Secure,CWE_Examples/CWE-1245/Secure_Code/CWE_1245_example_1_secure.v,fsm_1,11,1,1,5
CWE-1245,Secure,CWE_Examples/CWE-1245/Secure_Code/CWE_1245_example_3_secure.v,aes2_interface,66,24,36,38
CWE-1245,Secure,CWE_Examples/CWE-1245/Secure_Code/CWE_1245_example_4_secure.v,fsm_module,11,1,3,0
CWE-1245,Secure,CWE_Examples/CWE-1245/Secure_Code/CWE_1245_example_5_secure.v,fsm_module,23,1,3,1
CWE-1245,Secure,CWE_Examples/CWE-1245/Secure_Code/CWE_1245_example_6_secure.v,fsm_module,17,1,3,1
CWE-1245,Secure,CWE_Examples/CWE-1245/Secure_Code/CWE_1245_example_7_secure.sv,pkt_wrapper,20,4,12,6
CWE-1245,Secure,CWE_Examples/CWE-1245/Secure_Code/CWE_1245_example_8_secure.sv,aes0_wrapper,114,56,32,64
CWE-1245,Vulnerable,CWE_Examples/CWE-1245/Vulnerable_Code/CWE_1245_example_1_vulnerable.v,fsm_1,25,2,0,5
CWE-1245,Vulnerable,CWE_Examples/CWE-1245/Vulnerable_Code/CWE_1245_example_3_vulnerable.v,aes2_interface,64,24,34,36
CWE-1245,Vulnerable,CWE_Examples/CWE-1245/Vulnerable_Code/CWE_1245_example_4_vulnerable.v,fsm_module,11,1,3,0
CWE-1245,Vulnerable,CWE_Examples/CWE-1245/Vulnerable_Code/CWE_1245_example_5_vulnerable.v,fsm_module,23,1,3,1
CWE-1245,Vulnerable,CWE_Examples/CWE-1245/Vulnerable_Code/CWE_1245_example_6_vulnerable.v,fsm_module,18,1,3,1
CWE-1245,Vulnerable,CWE_Examples/CWE-1245/Vulnerable_Code/CWE_1245_example_7_vulnerable.sv,pkt_wrapper,23,4,14,10
CWE-1245,Vulnerable,CWE_Examples/CWE-1245/Vulnerable_Code/CWE_1245_example_8_vulnerable.sv,aes0_wrapper,122,56,36,74
,,,,39.14285714,,,
CWE-1431,Secure,CWE_Examples/CWE-1431/Secure_Code/CWE_1431_example_8_secure.v,md5,155,19,44,26
CWE-1431,Vulnerable,CWE_Examples/CWE-1431/Vulnerable_Code/CWE_1431_example_8_vulnerable.v,md5,153,18,43,26
,,,,154,,,
CWE-226,Secure,CWE_Examples/CWE-226/Secure_Code/CWE_226_example_1_secure.sv,aes0_wrapper,125,56,36,74
CWE-226,Secure,CWE_Examples/CWE-226/Secure_Code/CWE_226_example_10_secure.sv,rng_wrapper,103,20,100,54
CWE-226,Secure,CWE_Examples/CWE-226/Secure_Code/CWE_226_example_2_secure.sv,sha256_wrapper,108,42,56,50
CWE-226,Secure,CWE_Examples/CWE-226/Secure_Code/CWE_226_example_3_secure.sv,rsa_wrapper,33,14,8,14
CWE-226,Secure,CWE_Examples/CWE-226/Secure_Code/CWE_226_example_4_secure.sv,hmac_wrapper,189,86,92,98
CWE-226,Secure,CWE_Examples/CWE-226/Secure_Code/CWE_226_example_5_secure.sv,acct_wrapper,32,6,16,18
CWE-226,Secure,CWE_Examples/CWE-226/Secure_Code/CWE_226_example_6_secure.sv,pkt_wrapper,19,4,10,10
CWE-226,Secure,CWE_Examples/CWE-226/Secure_Code/CWE_226_example_8_secure.sv,aes2_wrapper,105,44,38,58
CWE-226,Secure,CWE_Examples/CWE-226/Secure_Code/CWE_226_example_9_secure.sv,aes1_wrapper,175,14,128,42
CWE-226,Vulnerable,CWE_Examples/CWE-226/Vulnerable_Code/CWE_226_example_1_vulnerable.sv,aes0_wrapper,122,56,36,74
CWE-226,Vulnerable,CWE_Examples/CWE-226/Vulnerable_Code/CWE_226_example_10_vulnerable.sv,rng_wrapper,103,20,100,54
CWE-226,Vulnerable,CWE_Examples/CWE-226/Vulnerable_Code/CWE_226_example_2_vulnerable.sv,sha256_wrapper,103,40,56,50
CWE-226,Vulnerable,CWE_Examples/CWE-226/Vulnerable_Code/CWE_226_example_3_vulnerable.sv,rsa_wrapper,161,14,136,142
CWE-226,Vulnerable,CWE_Examples/CWE-226/Vulnerable_Code/CWE_226_example_4_vulnerable.sv,hmac_wrapper,190,86,92,98
CWE-226,Vulnerable,CWE_Examples/CWE-226/Vulnerable_Code/CWE_226_example_5_vulnerable.sv,acct_wrapper,30,6,16,18
CWE-226,Vulnerable,CWE_Examples/CWE-226/Vulnerable_Code/CWE_226_example_6_vulnerable.sv,pkt_wrapper,19,4,10,10
CWE-226,Vulnerable,CWE_Examples/CWE-226/Vulnerable_Code/CWE_226_example_8_vulnerable.sv,aes2_wrapper,102,44,38,58
CWE-226,Vulnerable,CWE_Examples/CWE-226/Vulnerable_Code/CWE_226_example_9_vulnerable.sv,aes1_wrapper,151,14,128,42
,,,,282.1079365,,,
