cwe,cwe_id,file,top,total_cells,ff_cells,mux_cells,cmp_cells
1233,1233-1,Prompts/1233/1233-1/1233-1-gpt-5_2-response-code.v,debug_test_ctrl,50,10,12,10
1233,1233-10,Prompts/1233/1233-10/1233-10-gpt-5_2-response-code.v,debug_ctrl,27,8,3,5
1233,1233-11,Prompts/1233/1233-11/1233-11-gpt-5_2-response-code.v,debug_ctrl,22,7,2,3
1233,1233-12,Prompts/1233/1233-12/1233-12-gpt-5_2-response-code.v,firewall_ctrl,20,6,3,3
1233,1233-2,Prompts/1233/1233-2/1233-2-gpt-5_2-response-code.v,mpu_controller,23,9,1,4
1233,1233-3,Prompts/1233/1233-3/1233-3-gpt-5_2-response-code.v,debug_test_ctrl,27,9,1,6
1233,1233-4,Prompts/1233/1233-4/1233-4-gpt-5_2-response-code.v,firewall_ctrl,47,10,12,9
1233,1233-5,Prompts/1233/1233-5/1233-5-gpt-5_2-response-code.v,firewall_ctrl,51,13,9,13
1233,1233-6,Prompts/1233/1233-6/1233-6-gpt-5_2-response-code.v,firewall_ctrl,39,6,13,8
1233,1233-7,Prompts/1233/1233-7/1233-7-gpt-5_2-response-code.v,firewall_isolation_ctrl,32,8,5,5
1233,1233-8,Prompts/1233/1233-8/1233-8-gpt-5_2-response-code.v,debug_test_ctrl,26,8,4,4
1233,1233-9,Prompts/1233/1233-9/1233-9-gpt-5_2-response-code.v,debug_test_ctrl,43,9,9,11
1245,1245-1,Prompts/1245/1245-1/1245-1-gpt-5_2-response-code.v,auth_fsm_controller,47,2,8,8
1245,1245-10,Prompts/1245/1245-10/1245-10-gpt-5_2-response-code.v,mem_access_controller,53,6,14,17
1245,1245-11,Prompts/1245/1245-11/1245-11-gpt-5_2-response-code.v,auth_access_controller,59,8,15,20
1245,1245-12,Prompts/1245/1245-12/1245-12-gpt-5_2-response-code.v,auth_controller_fsm,38,6,14,9
1245,1245-2,Prompts/1245/1245-2/1245-2-gpt-5_2-response-code.v,auth_access_controller,29,3,10,11
1245,1245-3,Prompts/1245/1245-3/1245-3-gpt-5_2-response-code.v,auth_controller,61,8,19,16
1245,1245-4,Prompts/1245/1245-4/1245-4-gpt-5_2-response-code.v,mem_access_ctrl_with_privilege,58,7,16,18
1245,1245-5,Prompts/1245/1245-5/1245-5-gpt-5_2-response-code.v,auth_controller_fsm,31,6,8,9
1245,1245-6,Prompts/1245/1245-6/1245-6-gpt-5_2-response-code.v,mem_privilege_controller,45,6,13,14
1245,1245-7,Prompts/1245/1245-7/1245-7-gpt-5_2-response-code.v,privileged_mem_controller,49,3,14,17
1245,1245-8,Prompts/1245/1245-8/1245-8-gpt-5_2-response-code.v,auth_access_controller,34,6,11,8
1245,1245-9,Prompts/1245/1245-9/1245-9-gpt-5_2-response-code.v,privileged_mem_controller,45,6,9,11
1431,1431-1,Prompts/1431/1431-1/1431-1-gpt-5_2-response-code.v,spn_cipher_core,39,8,8,2
1431,1431-10,Prompts/1431/1431-10/1431-10-gpt-5_2-response-code.v,spn_cipher_core,92,5,8,6
1431,1431-11,Prompts/1431/1431-11/1431-11-gpt-5_2-response-code.v,simple_spn_cipher_with_leakage,58,5,5,6
1431,1431-12,Prompts/1431/1431-12/1431-12-gpt-5_2-response-code.v,iterative_hash_core,37,7,9,6
1431,1431-2,Prompts/1431/1431-2/1431-2-gpt-5_2-response-code.v,simple_spn_cipher,47,7,9,5
1431,1431-3,Prompts/1431/1431-3/1431-3-gpt-5_2-response-code.v,spn_cipher_core,44,5,11,5
1431,1431-4,Prompts/1431/1431-4/1431-4-gpt-5_2-response-code.v,spn_cipher_with_leakage,69,7,12,6
1431,1431-5,Prompts/1431/1431-5/1431-5-gpt-5_2-response-code.v,custom_spn_cipher,32,5,9,5
1431,1431-6,Prompts/1431/1431-6/1431-6-gpt-5_2-response-code.v,spn_cipher_core,61,4,10,6
1431,1431-7,Prompts/1431/1431-7/1431-7-gpt-5_2-response-code.v,simple_spn_cipher,59,7,16,7
1431,1431-8,Prompts/1431/1431-8/1431-8-gpt-5_2-response-code.v,simple_spn_cipher,130,41,7,2
1431,1431-9,Prompts/1431/1431-9/1431-9-gpt-5_2-response-code.v,simple_spn_cipher,48,8,10,6
226,226-1,Prompts/226/226-1/226-1-gpt-5_2-response-code.v,shared_key_management_unit,93,14,35,17
226,226-10,Prompts/226/226-10/226-10-gpt-5_2-response-code.v,key_management_unit,131,17,60,23
226,226-11,Prompts/226/226-11/226-11-gpt-5_2-response-code.v,shared_crypto_accel,99,12,46,17
226,226-2,Prompts/226/226-2/226-2-gpt-5_2-response-code.v,key_management_unit,57,10,16,7
226,226-3,Prompts/226/226-3/226-3-gpt-5_2-response-code.v,key_management_unit,90,14,40,21
226,226-4,Prompts/226/226-4/226-4-gpt-5_2-response-code.v,multi_context_dma,64,12,28,12
226,226-5,Prompts/226/226-5/226-5-gpt-5_2-response-code.v,key_management_unit,64,14,18,10
226,226-6,Prompts/226/226-6/226-6-gpt-5_2-response-code.v,multi_context_dma,55,8,24,13
226,226-7,Prompts/226/226-7/226-7-gpt-5_2-response-code.v,key_management_unit,131,20,61,25
226,226-8,Prompts/226/226-8/226-8-gpt-5_2-response-code.v,key_management_unit,76,13,23,11
226,226-9,Prompts/226/226-9/226-9-gpt-5_2-response-code.v,shared_crypto_accel,84,17,38,5
